species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
Chinstrap,46.7,17.9,195.0,3300.0
Adelie,35.9,16.6,190.0,3050.0
Adelie,36.6,17.8,185.0,3700.0
Adelie,37.8,18.3,174.0,3400.0
Adelie,35.5,17.5,190.0,3700.0
Adelie,38.1,17.6,187.0,3425.0
Chinstrap,51.7,20.3,194.0,3775.0
Adelie,41.1,18.2,192.0,4050.0
Gentoo,50.4,15.7,222.0,5750.0
Chinstrap,49.3,19.9,203.0,4050.0
Gentoo,49.8,16.8,230.0,5700.0
Adelie,41.1,19.0,182.0,3425.0
Gentoo,45.2,16.4,223.0,5950.0
Gentoo,45.4,14.6,211.0,4800.0
Gentoo,46.7,15.3,219.0,5200.0
Gentoo,44.5,14.7,214.0,4850.0
Chinstrap,50.0,19.5,196.0,3900.0
Adelie,34.4,18.4,184.0,3325.0
Gentoo,46.8,15.4,215.0,5150.0
Chinstrap,40.9,16.6,187.0,3200.0
Gentoo,50.4,15.3,224.0,5550.0
Gentoo,49.4,15.8,216.0,4925.0
Adelie,34.0,17.1,185.0,3400.0
Adelie,36.6,18.4,184.0,3475.0
Adelie,35.7,16.9,185.0,3150.0
Adelie,36.0,17.1,187.0,3700.0
Gentoo,46.5,14.4,217.0,4900.0
Adelie,42.2,18.5,180.0,3550.0
Adelie,34.5,18.1,187.0,2900.0
Adelie,38.7,19.0,195.0,3450.0
Gentoo,42.0,13.5,210.0,4150.0
Chinstrap,50.6,19.4,193.0,3800.0
Adelie,35.2,15.9,186.0,3050.0
Adelie,43.2,18.5,192.0,4100.0
Adelie,38.3,19.2,189.0,3950.0
Chinstrap,49.0,19.5,210.0,3950.0
Gentoo,50.7,15.0,223.0,5550.0
Gentoo,46.8,16.1,215.0,5500.0
Gentoo,52.2,17.1,228.0,5400.0
Gentoo,44.9,13.8,212.0,4750.0
Adelie,39.5,17.4,186.0,3800.0
Chinstrap,51.3,18.2,197.0,3750.0
Adelie,35.0,17.9,192.0,3725.0
Adelie,39.2,18.6,190.0,4250.0
Adelie,40.6,19.0,199.0,4000.0
Gentoo,42.6,13.7,213.0,4950.0
Gentoo,52.1,17.0,230.0,5550.0
Chinstrap,42.4,17.3,181.0,3600.0
Adelie,36.7,19.3,193.0,3450.0
Gentoo,45.7,13.9,214.0,4400.0
Adelie,39.0,18.7,185.0,3650.0
Chinstrap,47.6,18.3,195.0,3850.0
Adelie,35.7,18.0,202.0,3550.0
Gentoo,48.7,15.1,222.0,5350.0
Gentoo,47.8,15.0,215.0,5650.0
Adelie,37.6,19.3,181.0,3300.0
Gentoo,43.5,15.2,213.0,4650.0
Gentoo,53.4,15.8,219.0,5500.0
Adelie,44.1,18.0,210.0,4000.0
Gentoo,46.5,13.5,210.0,4550.0
Adelie,38.6,17.2,199.0,3750.0
Chinstrap,45.2,16.6,191.0,3250.0
Gentoo,47.2,13.7,214.0,4925.0
Gentoo,48.5,14.1,220.0,5300.0
Gentoo,55.1,16.0,230.0,5850.0
Adelie,35.9,19.2,189.0,3800.0
Adelie,38.6,21.2,191.0,3800.0
Adelie,39.7,17.7,193.0,3200.0
Gentoo,50.1,15.0,225.0,5000.0
Gentoo,49.1,15.0,228.0,5500.0
Gentoo,47.5,15.0,218.0,4950.0
Chinstrap,46.4,17.8,191.0,3700.0
Gentoo,47.2,15.5,215.0,4975.0
Adelie,40.3,18.5,196.0,4350.0
Gentoo,49.6,15.0,216.0,4750.0
Gentoo,47.3,15.3,222.0,5250.0
Chinstrap,52.2,18.8,197.0,3450.0
Adelie,41.6,18.0,192.0,3950.0
Gentoo,48.4,14.6,213.0,5850.0
Adelie,43.2,19.0,197.0,4775.0
Gentoo,45.8,14.6,210.0,4200.0
Gentoo,47.7,15.0,216.0,4750.0
Chinstrap,50.8,18.5,201.0,4450.0
Gentoo,46.2,14.1,217.0,4375.0
Gentoo,43.3,14.0,208.0,4575.0
Adelie,45.8,18.9,197.0,4150.0
Chinstrap,46.9,16.6,192.0,2700.0
Adelie,38.2,20.0,190.0,3900.0
Chinstrap,45.7,17.3,193.0,3600.0
Adelie,35.6,17.5,191.0,3175.0
Gentoo,48.7,14.1,210.0,4450.0
Adelie,40.5,18.9,180.0,3950.0
Gentoo,49.0,16.1,216.0,5550.0
Adelie,41.0,20.0,203.0,4725.0
Adelie,36.9,18.6,189.0,3500.0
Chinstrap,54.2,20.8,201.0,4300.0
Adelie,39.3,20.6,190.0,3650.0
Gentoo,48.4,16.3,220.0,5400.0
Gentoo,49.6,16.0,225.0,5700.0
Adelie,40.9,18.9,184.0,3900.0
Gentoo,46.2,14.9,221.0,5300.0
Gentoo,44.9,13.3,213.0,5100.0
Adelie,39.6,18.1,186.0,4450.0
Gentoo,43.6,13.9,217.0,4900.0
Adelie,40.2,20.1,200.0,3975.0
Adelie,40.2,17.0,176.0,3450.0
Gentoo,46.6,14.2,210.0,4850.0
Gentoo,45.2,14.8,212.0,5200.0
Adelie,42.2,19.5,197.0,4275.0
Adelie,40.7,17.0,190.0,3725.0
Gentoo,47.5,14.0,212.0,4875.0
Chinstrap,50.5,18.4,200.0,3400.0
Adelie,39.0,17.5,186.0,3550.0
Gentoo,46.5,14.8,217.0,5200.0
Adelie,38.8,20.0,190.0,3950.0
Adelie,32.1,15.5,188.0,3050.0
Adelie,36.0,17.8,195.0,3450.0
Chinstrap,45.7,17.0,195.0,3650.0
Adelie,40.3,18.0,195.0,3250.0
Adelie,40.8,18.4,195.0,3900.0
Gentoo,46.5,14.5,213.0,4400.0
Adelie,39.6,17.7,186.0,3500.0
Adelie,37.2,19.4,184.0,3900.0
Gentoo,44.4,17.3,219.0,5250.0
Gentoo,49.1,14.5,212.0,4625.0
Gentoo,46.4,15.0,216.0,4700.0
Gentoo,45.5,13.7,214.0,4650.0
Chinstrap,45.5,17.0,196.0,3500.0
Gentoo,50.5,15.2,216.0,5000.0
Gentoo,42.7,13.7,208.0,3950.0
Chinstrap,51.3,19.2,193.0,3650.0
Adelie,42.0,19.5,200.0,4050.0
Chinstrap,46.5,17.9,192.0,3500.0
Adelie,34.6,17.2,189.0,3200.0
Gentoo,52.5,15.6,221.0,5450.0
Adelie,41.3,21.1,195.0,4400.0
Chinstrap,46.4,18.6,190.0,3450.0
Chinstrap,51.5,18.7,187.0,3250.0
Gentoo,43.5,14.2,220.0,4700.0
Adelie,42.3,21.2,191.0,4150.0
Chinstrap,45.2,17.8,198.0,3950.0
Adelie,33.5,19.0,190.0,3600.0
Gentoo,55.9,17.0,228.0,5600.0
Chinstrap,55.8,19.8,207.0,4000.0
Gentoo,45.5,13.9,210.0,4200.0
Adelie,38.9,17.8,181.0,3625.0
Gentoo,50.0,16.3,230.0,5700.0
Adelie,40.9,16.8,191.0,3700.0
Adelie,41.5,18.5,201.0,4000.0
Adelie,41.3,20.3,194.0,3550.0
Gentoo,41.7,14.7,210.0,4700.0
Adelie,40.5,17.9,187.0,3200.0
Adelie,37.2,18.1,178.0,3900.0
Adelie,41.1,17.5,190.0,3900.0
Chinstrap,45.6,19.4,194.0,3525.0
Adelie,42.8,18.5,195.0,4250.0
Chinstrap,42.5,17.3,187.0,3350.0
Adelie,44.1,19.7,196.0,4400.0
Gentoo,50.8,17.3,228.0,5600.0
Chinstrap,50.8,19.0,210.0,4100.0
Gentoo,46.2,14.5,209.0,4800.0
Gentoo,47.5,14.2,209.0,4600.0
Chinstrap,46.1,18.2,178.0,3250.0
Gentoo,48.2,14.3,210.0,4600.0
Adelie,39.6,18.8,190.0,4600.0
Adelie,36.8,18.5,193.0,3500.0
Adelie,40.6,18.8,193.0,3800.0
