"Label (Grouping)","Grand Rapids city, Michigan!!Total!!Estimate","Grand Rapids city, Michigan!!Total!!Margin of Error","Grand Rapids city, Michigan!!Male!!Estimate","Grand Rapids city, Michigan!!Male!!Margin of Error","Grand Rapids city, Michigan!!Female!!Estimate","Grand Rapids city, Michigan!!Female!!Margin of Error"
"Population 16 years and over with earnings","105,605","±1,455","53,952","±1,000","51,653","±1,114"
"Median earnings (dollars)","22,721","±815","25,904","±759","20,598","±674"
"Full-time, year-round workers with earnings","57,852","±1,186","32,368","±777","25,484","±762"
"    $1 to $9,999 or loss","2.6%","±0.5","2.2%","±0.6","3.2%","±0.7"
"    $10,000 to $14,999","5.1%","±0.7","4.1%","±0.7","6.5%","±1.3"
"    $15,000 to $24,999","17.7%","±1.1","17.0%","±1.6","18.6%","±1.5"
"    $25,000 to $34,999","21.0%","±1.2","20.4%","±1.5","21.7%","±1.9"
"    $35,000 to $49,999","21.7%","±0.9","20.5%","±1.3","23.2%","±1.8"
"    $50,000 to $64,999","14.9%","±1.0","15.6%","±1.4","13.9%","±1.3"
"    $65,000 to $74,999","4.9%","±0.6","5.3%","±0.7","4.4%","±0.9"
"    $75,000 to $99,999","6.5%","±0.7","7.5%","±0.9","5.4%","±0.9"
"    $100,000 or more","5.5%","±0.6","7.3%","±0.8","3.1%","±0.7"
"Median earnings (dollars)","(X)","(X)","39,124","±2,274","35,010","±1,028"
"Mean earnings (dollars)","46,598","±1,250","51,388","±1,853","40,516","±1,060"
"MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT","","","","","",""
"    Population 25 years and over with earnings","29,426","±818","31,333","±688","26,722","±782"
"        Less than high school graduate","16,248","±984","19,417","±1,599","12,473","±1,288"
"        High school graduate (includes equivalency)","21,927","±830","24,892","±2,273","19,375","±1,516"
"        Some college or associate's degree","27,635","±985","30,183","±1,206","25,319","±1,395"
"        Bachelor's degree","37,547","±2,193","44,713","±2,075","34,646","±1,544"
"        Graduate or professional degree","52,101","±2,128","58,838","±6,906","49,099","±3,142"
"PERCENT ALLOCATED","","","","","",""
"    Earnings in the past 12 months","16.7%","(X)","(X)","(X)","(X)","(X)"