,Label (Grouping),Total,Total Margin of Error,Male,Male Margin of Error,Female,Female Margin of Error,Year,rank
0,"FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS",69603.0,160.1,38535.0,118.1,31068.0,118.9,2022,0
1,"$1 to $9,999 or loss",2.0,0.6,1.7,0.6,2.3,1.1,2022,1
2,"$10,000 to $14,999",1.9,0.6,1.5,0.7,2.3,0.9,2022,2
3,"$15,000 to $24,999",8.0,1.0,8.0,1.3,7.9,1.3,2022,3
4,"$25,000 to $34,999",13.5,1.1,11.9,1.1,15.5,1.7,2022,4
5,"$35,000 to $49,999",24.0,1.4,21.9,1.6,26.5,2.4,2022,5
6,"$50,000 to $64,999",17.3,1.1,16.1,1.5,18.8,1.9,2022,6
7,"$65,000 to $74,999",9.3,1.0,10.1,1.2,8.4,1.3,2022,7
8,"$75,000 to $99,999",12.9,1.2,14.6,1.5,10.8,1.5,2022,8
9,"$100,000 or more",11.2,0.8,14.2,1.3,7.4,1.0,2022,9
10,"FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS",67420.0,161.9,37490.0,112.9,29930.0,111.8,2021,0
11,"$1 to $9,999 or loss",2.1,0.6,1.7,0.6,2.5,1.1,2021,1
12,"$10,000 to $14,999",2.2,0.4,1.7,0.5,2.9,0.7,2021,2
13,"$15,000 to $24,999",10.3,1.0,8.9,1.2,12.0,1.5,2021,3
14,"$25,000 to $34,999",18.1,1.2,16.8,1.4,19.9,2.0,2021,4
15,"$35,000 to $49,999",23.4,1.2,21.8,1.5,25.3,1.9,2021,5
16,"$50,000 to $64,999",17.3,1.1,17.8,1.4,16.6,1.6,2021,6
17,"$65,000 to $74,999",7.8,0.8,8.7,1.0,6.7,1.1,2021,7
18,"$75,000 to $99,999",10.3,0.8,11.6,1.2,8.6,1.2,2021,8
19,"$100,000 or more",8.6,0.8,11.0,1.2,5.6,1.0,2021,9
20,"FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS",66634.0,188.1,37139.0,132.8,29495.0,115.3,2020,0
21,"$1 to $9,999 or loss",2.1,0.5,1.3,0.6,3.0,1.2,2020,1
22,"$10,000 to $14,999",2.9,0.5,2.4,0.6,3.5,0.8,2020,2
23,"$15,000 to $24,999",12.8,1.0,10.6,1.1,15.4,1.5,2020,3
24,"$25,000 to $34,999",20.0,1.2,19.6,1.6,20.5,1.9,2020,4
25,"$35,000 to $49,999",22.7,1.2,21.0,1.7,24.8,1.9,2020,5
26,"$50,000 to $64,999",17.1,1.1,18.3,1.7,15.6,1.6,2020,6
27,"$65,000 to $74,999",6.9,1.1,7.5,1.7,6.2,1.0,2020,7
28,"$75,000 to $99,999",8.6,0.8,10.4,1.1,6.4,1.0,2020,8
29,"$100,000 or more",6.9,0.7,8.9,0.9,4.5,1.0,2020,9
30,"FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS",66116.0,127.5,37557.0,100.2,28559.0,94.3,2019,0
31,"$1 to $9,999 or loss",1.8,0.4,1.6,0.6,2.2,0.6,2019,1
32,"$10,000 to $14,999",3.6,0.6,2.9,0.6,4.6,0.9,2019,2
33,"$15,000 to $24,999",14.7,0.9,13.6,1.2,16.3,1.3,2019,3
34,"$25,000 to $34,999",20.5,1.1,19.8,1.4,21.4,1.7,2019,4
35,"$35,000 to $49,999",23.0,1.0,21.8,1.2,24.4,1.9,2019,5
36,"$50,000 to $64,999",16.0,1.0,16.9,1.3,14.9,1.4,2019,6
37,"$65,000 to $74,999",5.1,0.5,5.1,0.6,5.2,0.9,2019,7
38,"$75,000 to $99,999",8.2,0.7,9.4,0.9,6.8,0.9,2019,8
39,"$100,000 or more",6.9,0.6,8.9,0.8,4.3,0.7,2019,9
40,"FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS",63727.0,126.7,35888.0,97.9,27839.0,99.7,2018,0
41,"$1 to $9,999 or loss",1.8,0.4,1.4,0.5,2.4,0.6,2018,1
42,"$10,000 to $14,999",4.5,0.6,3.8,0.7,5.4,0.9,2018,2
43,"$15,000 to $24,999",15.3,1.0,14.6,1.3,16.2,1.3,2018,3
44,"$25,000 to $34,999",21.2,1.2,20.9,1.6,21.6,1.8,2018,4
45,"$35,000 to $49,999",22.5,1.2,20.5,1.4,25.1,1.8,2018,5
46,"$50,000 to $64,999",15.7,1.1,16.3,1.5,14.9,1.4,2018,6
47,"$65,000 to $74,999",5.0,0.5,5.3,0.7,4.5,0.6,2018,7
48,"$75,000 to $99,999",7.6,0.8,8.8,1.1,5.9,0.9,2018,8
49,"$100,000 or more",6.5,0.6,8.4,0.9,4.1,0.7,2018,9
50,"FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS",60863.0,121.7,33779.0,95.3,27084.0,105.9,2017,0
51,"$1 to $9,999 or loss",2.2,0.4,1.8,0.5,2.8,0.7,2017,1
52,"$10,000 to $14,999",5.1,0.7,4.5,0.9,5.8,1.0,2017,2
53,"$15,000 to $24,999",16.7,1.2,15.3,1.5,18.5,1.6,2017,3
54,"$25,000 to $34,999",21.1,1.0,21.3,1.6,20.8,1.4,2017,4
55,"$35,000 to $49,999",22.3,1.3,20.3,1.6,24.7,1.7,2017,5
56,"$50,000 to $64,999",14.9,1.1,15.3,1.3,14.3,1.4,2017,6
57,"$65,000 to $74,999",5.0,0.5,5.8,0.8,4.0,0.7,2017,7
58,"$75,000 to $99,999",7.1,0.6,7.9,0.9,6.0,0.9,2017,8
59,"$100,000 or more",5.7,0.5,7.7,0.9,3.1,0.5,2017,9
60,"Full-time, year-round workers with earnings",57852.0,118.6,32368.0,77.7,25484.0,76.2,2016,0
61,"$1 to $9,999 or loss",2.6,0.5,2.2,0.6,3.2,0.7,2016,1
62,"$10,000 to $14,999",5.1,0.7,4.1,0.7,6.5,1.3,2016,2
63,"$15,000 to $24,999",17.7,1.1,17.0,1.6,18.6,1.5,2016,3
64,"$25,000 to $34,999",21.0,1.2,20.4,1.5,21.7,1.9,2016,4
65,"$35,000 to $49,999",21.7,0.9,20.5,1.3,23.2,1.8,2016,5
66,"$50,000 to $64,999",14.9,1.0,15.6,1.4,13.9,1.3,2016,6
67,"$65,000 to $74,999",4.9,0.6,5.3,0.7,4.4,0.9,2016,7
68,"$75,000 to $99,999",6.5,0.7,7.5,0.9,5.4,0.9,2016,8
69,"$100,000 or more",5.5,0.6,7.3,0.8,3.1,0.7,2016,9
70,"Full-time, year-round workers with earnings",55659.0,112.7,31289.0,78.3,24370.0,81.6,2015,0
71,"$1 to $9,999 or loss",2.6,0.5,2.4,0.6,2.9,0.8,2015,1
72,"$10,000 to $14,999",5.7,0.7,4.6,0.8,7.0,1.3,2015,2
73,"$15,000 to $24,999",17.8,1.3,16.7,1.4,19.2,1.9,2015,3
74,"$25,000 to $34,999",20.6,1.1,20.6,1.6,20.6,1.5,2015,4
75,"$35,000 to $49,999",22.5,1.2,21.4,1.6,23.9,2.1,2015,5
76,"$50,000 to $64,999",14.2,1.1,14.2,1.3,14.1,1.7,2015,6
77,"$65,000 to $74,999",4.8,0.6,5.6,0.8,3.8,0.8,2015,7
78,"$75,000 to $99,999",6.2,0.7,7.0,0.9,5.1,0.9,2015,8
79,"$100,000 or more",5.6,0.6,7.4,0.9,3.4,0.9,2015,9
80,"Full-time, year-round workers with earnings",52628.0,108.4,28690.0,86.0,23938.0,78.9,2014,0
81,"$1 to $9,999 or loss",2.8,0.7,2.6,0.9,3.1,0.8,2014,1
82,"$10,000 to $14,999",4.9,0.6,4.2,0.8,5.6,1.1,2014,2
83,"$15,000 to $24,999",17.1,1.2,15.1,1.3,19.4,1.7,2014,3
84,"$25,000 to $34,999",21.0,1.2,21.3,1.6,20.7,1.8,2014,4
85,"$35,000 to $49,999",23.4,1.3,21.5,1.8,25.6,2.1,2014,5
86,"$50,000 to $64,999",14.4,1.1,14.9,1.4,13.7,1.7,2014,6
87,"$65,000 to $74,999",4.6,0.7,5.7,0.9,3.3,0.7,2014,7
88,"$75,000 to $99,999",6.5,0.6,7.5,0.9,5.3,0.9,2014,8
89,"$100,000 or more",5.4,0.7,7.1,1.0,3.4,0.8,2014,9
90,"Full-time, year-round workers with earnings",51689.0,131.3,28505.0,77.9,23184.0,88.3,2013,0
91,"$1 to $9,999 or loss",3.1,0.6,3.2,0.8,3.0,0.9,2013,1
92,"$10,000 to $14,999",4.9,0.8,4.5,0.8,5.4,1.3,2013,2
93,"$15,000 to $24,999",17.4,1.1,15.5,1.5,19.6,1.5,2013,3
94,"$25,000 to $34,999",20.9,1.2,20.5,1.7,21.5,1.9,2013,4
95,"$35,000 to $49,999",24.5,1.2,23.3,1.6,25.9,1.9,2013,5
96,"$50,000 to $64,999",13.7,1.0,14.4,1.3,12.7,1.6,2013,6
97,"$65,000 to $74,999",4.9,0.6,5.9,0.9,3.7,0.7,2013,7
98,"$75,000 to $99,999",5.7,0.6,6.3,0.8,5.1,0.9,2013,8
99,"$100,000 or more",4.9,0.7,6.3,1.0,3.1,0.7,2013,9
100,"Full-time, year-round workers with earnings",52632.0,124.0,29260.0,88.9,23372.0,87.4,2012,0
101,"$1 to $9,999 or loss",3.2,0.6,3.2,0.8,3.2,0.8,2012,1
102,"$10,000 to $14,999",5.1,0.6,4.8,0.7,5.5,1.0,2012,2
103,"$15,000 to $24,999",17.4,1.1,16.0,1.5,19.0,1.8,2012,3
104,"$25,000 to $34,999",21.2,1.1,20.0,1.7,22.6,1.8,2012,4
105,"$35,000 to $49,999",24.1,1.3,22.8,1.7,25.8,2.2,2012,5
106,"$50,000 to $64,999",14.1,1.1,14.8,1.5,13.2,1.6,2012,6
107,"$65,000 to $74,999",5.1,0.7,6.0,0.9,3.9,0.9,2012,7
108,"$75,000 to $99,999",5.1,0.7,6.1,1.0,3.9,0.8,2012,8
109,"$100,000 or more",4.7,0.6,6.3,1.1,2.8,0.7,2012,9
110,"Full-time, year-round workers with earnings",52511.0,137.0,29190.0,88.4,23321.0,82.9,2011,0
111,"$1 to $9,999 or loss",3.5,0.6,3.0,0.7,4.1,0.9,2011,1
112,"$10,000 to $14,999",5.2,0.7,5.2,0.9,5.2,0.9,2011,2
113,"$15,000 to $24,999",17.7,1.2,16.5,1.6,19.2,1.6,2011,3
114,"$25,000 to $34,999",20.5,1.1,19.2,1.6,22.0,2.0,2011,4
115,"$35,000 to $49,999",24.3,1.0,23.1,1.7,25.7,1.8,2011,5
116,"$50,000 to $64,999",13.7,1.0,14.5,1.3,12.8,1.6,2011,6
117,"$65,000 to $74,999",4.9,0.7,5.9,1.0,3.7,0.7,2011,7
118,"$75,000 to $99,999",5.8,0.6,6.6,0.9,4.8,0.9,2011,8
119,"$100,000 or more",4.5,0.6,6.0,0.9,2.6,0.6,2011,9
120,"Full-time, year-round workers with earnings",52821.0,129.0,29364.0,98.2,23457.0,79.3,2010,0
121,"$1 to $9,999 or loss",3.0,0.6,2.5,0.8,3.6,0.9,2010,1
122,"$10,000 to $14,999",5.4,0.9,4.9,1.0,6.0,1.2,2010,2
123,"$15,000 to $24,999",18.1,1.2,17.0,1.6,19.5,1.6,2010,3
124,"$25,000 to $34,999",22.5,1.4,21.0,1.7,24.4,2.2,2010,4
125,"$35,000 to $49,999",23.5,1.2,22.3,1.5,25.1,2.2,2010,5
126,"$50,000 to $64,999",13.6,1.0,15.2,1.5,11.7,1.5,2010,6
127,"$65,000 to $74,999",4.5,0.5,5.2,0.8,3.6,0.6,2010,7
128,"$75,000 to $99,999",5.1,0.6,5.9,0.9,4.1,0.9,2010,8
129,"$100,000 or more",4.2,0.5,6.0,0.8,1.9,0.6,2010,9
